City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Necochea,AR,2020-09-01 15:29:38,-38.55,-58.74,48.0,68,0,7.0
70,Deputatskiy,RU,2020-09-01 15:29:38,69.3,139.9,29.35,97,9,3.85
71,Mataura,NZ,2020-09-01 15:29:38,-46.19,168.86,30.33,98,0,1.99
72,Airai,TL,2020-09-01 15:29:39,-8.93,125.41,58.14,100,12,3.22
73,Petropavlovskaya,RU,2020-09-01 15:29:39,45.08,40.45,89.44,31,0,10.49
74,Galle,LK,2020-09-01 15:29:12,6.04,80.22,79.38,83,100,7.34
75,Catabola,AO,2020-09-01 15:29:40,-12.15,17.28,80.6,88,40,6.93
76,Tual,ID,2020-09-01 15:29:40,-5.67,132.75,79.75,87,99,18.79
77,Tuktoyaktuk,CA,2020-09-01 15:29:40,69.45,-133.04,44.6,93,75,10.29
78,Kavieng,PG,2020-09-01 15:29:40,-2.57,150.8,80.69,75,100,1.39
79,Carnarvon,AU,2020-09-01 15:29:41,-24.87,113.63,64.4,55,90,16.11
80,Jamestown,US,2020-09-01 15:26:36,42.1,-79.24,70.0,88,90,9.17
81,Barrow,US,2020-09-01 15:25:02,71.29,-156.79,35.6,80,90,16.11
82,Northam,GB,2020-09-01 15:29:41,51.03,-4.22,66.99,73,46,3.0
83,Cidreira,BR,2020-09-01 15:25:17,-30.18,-50.21,58.28,87,100,18.37
84,Shelburne,CA,2020-09-01 15:29:42,44.08,-80.2,77.0,65,1,4.7
85,Santiago,CL,2020-09-01 15:29:42,-33.46,-70.65,54.0,93,90,3.36
86,Saint-Pierre,RE,2020-09-01 15:29:42,-21.34,55.48,71.6,64,20,12.75
87,Oistins,BB,2020-09-01 15:25:38,13.07,-59.53,86.0,70,40,10.29
88,Kapaa,US,2020-09-01 15:29:43,22.08,-159.32,78.8,78,40,16.11
89,Nanortalik,GL,2020-09-01 15:29:43,60.14,-45.24,43.99,81,85,6.44
90,Torbay,CA,2020-09-01 15:29:43,47.67,-52.73,57.99,71,75,13.87
91,Worthington,US,2020-09-01 15:29:43,40.09,-83.02,75.99,83,90,5.82
92,Saint-Philippe,RE,2020-09-01 15:29:44,-21.36,55.77,71.6,64,20,12.75
93,Chuy,UY,2020-09-01 15:29:44,-33.7,-53.46,52.61,75,100,13.47
94,Hirara,JP,2020-09-01 15:29:44,24.8,125.28,85.01,80,100,26.22
95,Agirish,RU,2020-09-01 15:29:44,61.92,63.02,50.13,94,98,5.7
96,Srednekolymsk,RU,2020-09-01 15:29:45,67.45,153.68,40.86,84,99,11.43
97,Govindgarh,IN,2020-09-01 15:29:45,27.5,76.98,85.17,72,95,6.69
98,The Valley,AI,2020-09-01 15:25:05,18.22,-63.06,86.0,74,40,19.46
99,Alta Floresta,BR,2020-09-01 15:29:45,-9.88,-56.09,95.0,34,11,5.82
100,Warman,CA,2020-09-01 15:29:46,52.32,-106.57,61.0,59,40,25.28
101,Norman Wells,CA,2020-09-01 15:25:26,65.28,-126.83,46.4,100,90,2.24
102,Tiksi,RU,2020-09-01 15:29:46,71.69,128.87,42.98,82,50,11.18
103,Bud,US,2020-09-01 15:29:46,39.45,-86.18,75.0,94,40,4.85
104,Hutchinson,US,2020-09-01 15:26:18,38.06,-97.93,68.0,94,90,5.32
105,Namie,JP,2020-09-01 15:29:47,37.48,141.0,77.0,89,100,7.87
106,Bandarbeyla,SO,2020-09-01 15:29:47,9.49,50.81,78.53,77,9,32.03
107,Atuona,PF,2020-09-01 15:29:47,-9.8,-139.03,77.83,73,42,21.56
108,Rondonopolis,BR,2020-09-01 15:29:47,-16.47,-54.64,101.23,13,0,6.69
109,Klaksvik,FO,2020-09-01 15:29:48,62.23,-6.59,51.8,100,82,12.75
110,Ahipara,NZ,2020-09-01 15:29:48,-35.17,173.17,54.1,85,95,8.43
111,Kristiansund,NO,2020-09-01 15:29:48,63.11,7.73,59.0,67,40,11.41
112,West Plains,US,2020-09-01 15:29:49,36.73,-91.85,70.0,100,90,5.82
113,Juneau,US,2020-09-01 15:29:49,58.3,-134.42,54.0,93,90,11.41
114,Kupang,ID,2020-09-01 15:29:49,-10.17,123.58,77.49,79,0,11.95
115,Baymak,RU,2020-09-01 15:29:50,52.59,58.32,70.23,61,0,5.12
116,Anloga,GH,2020-09-01 15:29:50,5.79,0.9,80.6,74,40,10.29
117,Port Alfred,ZA,2020-09-01 15:29:50,-33.59,26.89,63.46,65,85,35.16
118,Santa Isabel Do Rio Negro,BR,2020-09-01 15:29:51,-0.41,-65.02,92.1,48,2,3.6
119,Rawson,AR,2020-09-01 15:29:51,-43.3,-65.1,54.41,46,0,18.5
120,Sao Filipe,CV,2020-09-01 15:29:51,14.9,-24.5,77.34,77,100,10.18
121,Linxia,CN,2020-09-01 15:29:51,35.6,103.21,59.23,60,100,6.55
122,Gizo,SB,2020-09-01 15:29:52,-8.1,156.84,82.51,74,100,4.0
123,Port Hawkesbury,CA,2020-09-01 15:29:52,45.62,-61.35,66.99,59,1,8.05
124,Nikolskoye,RU,2020-09-01 15:29:52,59.7,30.79,60.8,51,40,8.95
125,Kavaratti,IN,2020-09-01 15:29:52,10.57,72.64,82.71,78,88,17.34
126,Goianesia,BR,2020-09-01 15:29:53,-15.32,-49.12,92.93,15,0,11.16
127,Teya,RU,2020-09-01 15:29:53,60.38,92.63,55.72,92,100,5.48
128,Bubaque,GW,2020-09-01 15:29:53,11.28,-15.83,79.11,83,98,21.68
129,Ampanihy,MG,2020-09-01 15:29:53,-24.7,44.75,71.2,72,6,14.85
130,Giyani,ZA,2020-09-01 15:29:54,-23.3,30.72,57.43,85,100,12.97
131,Saldanha,ZA,2020-09-01 15:29:54,-33.01,17.94,62.11,60,55,20.62
132,Paamiut,GL,2020-09-01 15:29:54,61.99,-49.67,43.79,86,54,12.35
133,Huainan,CN,2020-09-01 15:29:55,32.63,117.0,75.56,88,0,5.99
134,Groa,NO,2020-09-01 15:29:55,62.65,8.72,59.0,67,40,11.41
135,Bayeux,BR,2020-09-01 15:28:09,-7.12,-34.93,82.4,69,75,14.99
136,Mwinilunga,ZM,2020-09-01 15:29:55,-11.74,24.43,89.08,18,63,5.35
137,Gazli,UZ,2020-09-01 15:29:56,40.13,63.45,81.0,16,0,9.31
