City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
288,Road Town,VG,87.8,few clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
290,Ponta Delgada,PT,75.2,broken clouds,37.73,-25.67,Vila Nova Hotel
291,San Juan De Uraba,CO,84.09,clear sky,8.76,-76.53,Hotel Cerro De Zumba
298,Kamina,CD,87.24,scattered clouds,-8.74,24.99,Guest House la Grace
301,Dingle,PH,77.88,broken clouds,11.0,122.67,Camp Pasica
305,Katherine,AU,82.4,clear sky,-14.47,132.27,Pine Tree Motel
312,Maraial,BR,75.74,light rain,-8.78,-35.81,Maraial fm
316,Linhares,BR,80.56,broken clouds,-19.39,-40.07,Hotel Conceição
327,Kendari,ID,75.18,light rain,-3.94,122.5,Hotel Wixel
329,Pong,TH,78.1,light rain,19.15,100.28,999 Hotel
330,Gazli,UZ,82.76,clear sky,40.13,63.45,
332,Nishihara,JP,80.6,light rain,26.18,127.76,Minshuku Agaihama
333,Yueyang,CN,76.59,light rain,29.33,113.09,Delong Fortune Hotel
335,Progreso,MX,87.01,broken clouds,21.28,-89.67,Playa Linda Hotel
339,Moussoro,TD,81.01,overcast clouds,13.64,16.49,Pharmacie alnadja Moussoro
343,Chipata,ZM,76.05,few clouds,-13.63,32.65,Protea Hotel by Marriott Chipata
344,Kikwit,CD,89.35,overcast clouds,-5.04,18.82,Centre D'Accueil Protestant
345,Bandarbeyla,SO,77.18,few clouds,9.49,50.81,REER XOOSHLE GROUP
348,Cabo San Lucas,MX,81.0,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
352,Vila Franca Do Campo,PT,75.2,broken clouds,37.72,-25.43,Pestana Bahia Praia
359,Cepu,ID,78.39,overcast clouds,-7.15,111.59,OYO 673 Hotel Cepu Indah 1
362,Ganzhou,CN,75.29,light rain,28.82,115.43,Gold Jiao Hotel
372,Kieta,PG,79.57,overcast clouds,-6.22,155.63,
374,Chawinda,PK,86.0,smoke,32.35,74.71,Mirza Jameel Boring company
377,Cuamba,MZ,75.67,clear sky,-14.8,36.54,Hotel Vision
383,Isla Mujeres,MX,87.01,broken clouds,21.23,-86.73,Hotel La Joya Isla Mujeres
384,Vila Do Maio,CV,87.8,scattered clouds,15.13,-23.22,Residence 'I Delfini'
386,Muncar,ID,76.75,light rain,-8.43,114.33,Zaky Homestay
387,Saquena,PE,89.73,scattered clouds,-4.67,-73.52,
389,Tiznit,MA,80.78,clear sky,29.58,-9.5,
396,Padang,ID,77.13,moderate rain,-0.95,100.35,Mercure Padang
401,Odweyne,SO,88.38,scattered clouds,9.41,45.06,Eng Hiirey House
403,West Bay,KY,90.0,scattered clouds,19.37,-81.42,Calypso Cove
409,San Javier,ES,82.4,few clouds,37.81,-0.84,Hotel Mar Menor
412,Anito,PH,80.24,overcast clouds,12.45,125.29,The Yellow House
413,Kaniama,CD,89.73,clear sky,-7.57,24.18,
415,Mayo,US,86.0,clear sky,38.89,-76.51,Resorts Resource Group International
416,Komsomolskiy,UZ,80.6,broken clouds,40.43,71.72,Ikathouse
418,Henderson,US,84.99,clear sky,36.04,-114.98,Hawthorn Suites By Wyndham Las Vegas/Henderson
420,Tukrah,LY,83.41,clear sky,32.53,20.58,استراحة لاقروتا
421,Sabinas Hidalgo,MX,84.42,overcast clouds,26.5,-100.17,Hotel Real Santiago De Las Sabinas
423,Kimbe,PG,75.65,scattered clouds,-5.55,150.14,Kimbe Bay Hotel
427,Sola,VU,76.86,overcast clouds,-13.88,167.55,Leumerus Bungalows
429,Kontagora,NG,81.52,light rain,10.4,5.47,City Gate Inn
430,Guamal,CO,87.1,clear sky,9.14,-74.22,Corozal
434,Susaki,JP,77.76,scattered clouds,33.37,133.28,民宿あわ
