City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind,Weather Description
82,Sol-Iletsk,RU,51.16,54.99,59.72,48,0,12.68,clear sky
83,Labuhan,ID,-6.88,112.21,80.87,78,97,6.76,overcast clouds
84,Ambilobe,MG,-13.2,49.05,73.94,75,16,5.23,light rain
85,Pangnirtung,CA,66.15,-65.71,42.8,87,75,9.17,broken clouds
86,Sao Joao Da Barra,BR,-21.64,-41.05,82.4,48,20,6.93,few clouds
87,Kaitangata,NZ,-46.28,169.85,39.0,86,83,4.29,broken clouds
88,Portland,US,45.52,-122.68,64.99,82,1,3.36,clear sky
89,Hithadhoo,MV,-0.6,73.08,82.13,76,13,12.68,few clouds
90,Qaanaaq,GL,77.48,-69.36,27.88,82,63,5.26,broken clouds
91,Suntar,RU,62.14,117.63,50.04,93,0,4.38,clear sky
92,Hobart,AU,-42.88,147.33,50.0,61,40,16.11,scattered clouds
93,Madera,US,37.17,-119.83,71.01,51,0,1.12,clear sky
94,Kavaratti,IN,10.57,72.64,81.88,80,85,10.36,moderate rain
95,Georgetown,MY,5.41,100.34,82.4,88,20,3.36,few clouds
96,Yellowknife,CA,62.46,-114.35,39.2,93,20,6.93,few clouds
97,Pevek,RU,69.7,170.31,34.34,90,52,5.28,broken clouds
98,Auki,SB,-8.77,160.7,79.3,81,100,4.83,overcast clouds
99,Archidona,ES,37.1,-4.39,80.01,63,0,5.01,clear sky
100,Kutoarjo,ID,-7.72,109.91,77.47,84,100,6.11,light rain
101,Maniitsoq,GL,65.42,-52.9,46.17,56,61,4.83,broken clouds
102,Geraldton,AU,-28.77,114.6,50.0,93,100,5.35,overcast clouds
103,Baruun-Urt,MN,46.68,113.28,53.01,63,52,3.96,broken clouds
104,Saint-Joseph,RE,-21.37,55.62,69.8,68,75,10.89,broken clouds
105,Huarmey,PE,-10.07,-78.15,65.41,66,75,9.8,broken clouds
106,Chirala,IN,15.82,80.35,83.37,81,2,8.48,clear sky
107,Khandyga,RU,62.67,135.6,48.06,93,0,4.92,clear sky
108,New Norfolk,AU,-42.78,147.06,48.0,74,52,3.0,light rain
109,Bengkulu,ID,-3.8,102.27,77.83,89,99,7.43,overcast clouds
110,Palmer,US,42.16,-72.33,77.0,73,75,5.82,broken clouds
111,Shieli,KZ,44.17,66.75,82.96,18,12,8.28,few clouds
112,Taldan,RU,53.67,124.8,51.98,90,100,5.73,overcast clouds
113,Kismayo,SO,-0.36,42.55,77.92,72,0,16.64,clear sky
114,Puerto Ayora,EC,-0.74,-90.35,66.99,89,92,7.0,overcast clouds
115,Leopold,AU,-38.18,144.47,50.0,76,1,9.17,clear sky
116,Hammerfest,NO,70.66,23.68,64.4,52,3,21.92,clear sky
117,Kapaa,US,22.08,-159.32,78.8,74,20,9.17,light rain
118,Anniston,US,33.66,-85.83,82.99,78,1,8.05,clear sky
119,Bredasdorp,ZA,-34.53,20.04,68.0,49,98,10.29,overcast clouds
120,Boundiali,CI,9.52,-6.49,70.77,96,100,7.9,light rain
121,Kenora,CA,49.82,-94.43,50.0,93,75,12.75,broken clouds
122,Lavrentiya,RU,65.58,-171.0,39.09,86,100,5.75,overcast clouds
123,Tuatapere,NZ,-46.13,167.68,45.0,72,100,11.01,overcast clouds
124,Cockburn Town,TC,21.46,-71.14,86.0,70,40,13.87,scattered clouds
125,Harwich,GB,51.94,1.28,73.0,68,100,11.01,light rain
126,Tatarskaya Kargala,RU,51.95,55.17,62.6,39,0,15.66,clear sky
127,Lagoa,PT,39.05,-27.98,73.26,75,0,1.79,clear sky
128,Egvekinot,RU,66.32,-179.17,35.35,85,98,2.95,overcast clouds
129,Abbeville,FR,50.1,1.83,73.0,75,64,15.99,light rain
130,San Patricio,MX,19.22,-104.7,82.4,69,75,1.1,broken clouds
131,Vestmanna,FO,62.16,-7.17,53.6,87,46,13.87,light rain
132,Malatya,TR,38.5,38.0,96.8,15,40,2.24,scattered clouds
133,Tiksi,RU,71.69,128.87,41.77,81,10,8.19,clear sky
134,Pekan,MY,3.48,103.4,80.6,88,20,1.12,few clouds
135,Saraiu,RO,44.72,28.15,87.8,51,97,11.41,overcast clouds
136,Camacha,PT,33.08,-16.33,77.0,57,20,12.75,few clouds
137,Ayorou,NE,14.73,0.92,94.21,38,27,10.27,scattered clouds
138,Souillac,MU,-20.52,57.52,71.6,78,75,16.11,shower rain
